AC#_BAC_well/plate:type	Chromosome assignment (Timoshevskiy et al. 2014)	Band assignment (Timoshevskiy et al. 2014)	AaegL2 scaffold	Position in AaegL2 scaffold	Position in AaegL2 scaffold
CC118926_NDL.060C13:SP6	chr2	2q11	CH477433.1	1304046	1304046
CC842977_NDL.128C1:T7	chr2	2q11	CH477436.1	1464139	1464139
CC842972_NDL.128C1:SP6	chr2	2q11	CH477436.1	1366761	1366761
CC845466_NDL.121K12:T7	chr2	2q11	CH477537.1	591951	591951
CC845461_NDL.121K12:SP6	chr2	2q11	CH477537.1	526070	526070
CC871358_NDL.107N17:T7	chr2	2q11	CH477580.1	1068552	1068552
CC871355_NDL.107N17:SP6	chr2	2q11	CH477580.1	983932	983932
CC115469_NDL.093C11:T7	chr2	2q12	CH477280.1	136978	136978
CC115464_NDL.093C11:SP6	chr2	2q12	CH477280.1	68566	68566
CC858187_NDL.111D1:T7	chr2	2q12	CH477247.1	2822014	2822014
CC858181_NDL.111D1:SP6	chr2	2q12	CH477247.1	2717882	2717882
CC110457_NDL.051H16:T7	chr2	2q12	CH477265.1	2233474	2233474
CC110451_NDL.051H16:SP6	chr2	2q12	CH477265.1	2158479	2158479
CC860163_NDL.106K14:T7	chr2	2q12	CH477339.1	698710	698710
CC849855_NDL.106K14:SP6	chr2	2q12	CH477339.1	835788	835788
CC873475_NDL.008M2:T7	chr2	2q12	CH477459.1	115018	115018
CC873474_NDL.008M2:SP6	chr2	2q12	CH477459.1	192028	192028
CC122200_NDL.073J5:T7	chr2	2q13	CH477288.1	287097	287097
CC864574_NDL.097M1:T7	chr2	2q13	CH477298.1	1168156	1168156
CC864570_NDL.097M1:SP6	chr2	2q13	CH477298.1	1083445	1083445
CC132145_NDL.007E2:T7	chr2	2q13	CH477423.1	388406	388406
CC132140_NDL.007E2:SP6	chr2	2q13	CH477423.1	126830	126830
CC862493_NDL.124F24:T7	chr2	2q13	CH477448.1	1067809	1067809
CC862491_NDL.124F24:SP6	chr2	2q13	CH477448.1	1172287	1172287
CC135893_NDL.053G17:T7	chr2	2q13	CH477469.1	1402279	1402279
CC135888_NDL.053G17:SP6	chr2	2q13	CH477469.1	1499487	1499487
CC843415_NDL.114N22:T7	chr2	2q13	CH477469.1	752026	752026
CC843410_NDL.114N22:SP6	chr2	2q13	CH477469.1	633775	633775
CC865090_NDL.132O12:T7	chr2	2q13	CH477551.1	274964	274964
CC865085_NDL.132O12:SP6	chr2	2q13	CH477551.1	365559	365559
CC873972_NDL.039N24:SP6	chr2	2q13	CH477641.1	697057	697057
CC871173_NDL.21C6:T7	chr2	2q21	CH477187.1	835513	835513
CC871167_NDL.21C6:SP6	chr2	2q21	CH477187.1	918353	918353
CC871539_NDL.129J12:T7	chr2	2q21	CH477229.1	1277667	1277667
CC871536_NDL.129J12:SP6	chr2	2q21	CH477229.1	1192261	1192261
CC125558_NDL.058C7:T7	chr2	2q21	CH477298.1	1610759	1610759
CC125439_NDL.058C7:SP6	chr2	2q21	CH477298.1	1534061	1534061
CC873317_NDL.056G21:T7	chr2	2q21	CH477314.1	418270	418270
CC873311_NDL.056G21:SP6	chr2	2q21	CH477314.1	576369	576369
CC127129_NDL.027J11:T7	chr2	2q21	CH477334.1	1797488	1797488
CC127125_NDL.027J11:SP6	chr2	2q21	CH477334.1	1689895	1689895
CC140308_NDL.045E8:T7	chr2	2q21	CH477334.1	1806160	1806160
CC140302_NDL.045E8:SP6	chr2	2q21	CH477334.1	1711348	1711348
CC126996_NDL.045M21:T7	chr2	2q21	CH477342.1	1651268	1651268
BM005503_(LF203)_NDL.045M21:GM	chr2	2q21	CH477342.1	1727678	1727678
CC126992_NDL.045M21:SP6	chr2	2q21	CH477342.1	1747362	1747362
CC115279_NDL.007K3:T7	chr2	2q21	CH477441.1	594954	594954
CC115278_NDL.007K3:SP6	chr2	2q21	CH477441.1	671801	671801
CC872639_NDL.098I18:T7	chr2	2q21	CH477499.1	1080459	1080459
CC872635_NDL.098I18:SP6	chr2	2q21	CH477499.1	1016428	1016428
CC844124_NDL.033K9:T7	chr2	2q21* 3p32^ 3q32^	CH477219.1	2209296	2209296
CC844030_NDL.033K9:SP6	chr2	2q21* 3p32^ 3q32^	CH477219.1	2301297	2301297
CC123870_NDL.051M2:T7	chr2	2q22	CH477288.1	357560	357560
CC847137_NDL.120L15:T7	chr2	2q22	CH477293.1	156929	156929
CC847133_NDL.120L15:SP6	chr2	2q22	CH477293.1	231819	231819
CC139923_NDL.065O9:T7	chr2	2q22	CH477357.1	430950	430950
CC137251_NDL.065O9:SP6	chr2	2q22	CH477357.1	507002	507002
CC131322_NDL.068N18:SP6	chr2	2q22	CH477427.1	1148470	1148470
CC108720_NDL.045K4:T7	chr2	2q22	CH478200.1	107546	107546
BI096854_(AEGI10)_NDL.045K4:GM	chr2	2q22	CH477475.1	237779	237779
CC108716_NDL.045K4:SP6	chr2	2q22	CH478200.1	206788	206788
CC113808_NDL.029F5:T7	chr2	2q23	CH477196.1	1323795	1323795
CC113805_NDL.029F5:SP6	chr2	2q23	CH477196.1	1419056	1419056
CC862851_NDL.100P12:T7	chr2	2q23	CH477229.1	1359423	1359423
CC862847_NDL.100P12:SP6	chr2	2q23	CH477229.1	1283985	1283985
CC127388_NDL.032A4:T7	chr2	2q23	CH477240.1	1910262	1910262
CC127382_NDL.032A4:SP6	chr2	2q23	CH477240.1	2042016	2042016
CC111998_NDL.018C3:T7	chr2	2q23	CH477283.1	2768332	2768332
CC150479_NDL.018C3:SP6	chr2	2q23	CH477283.1	2659135	2659135
CC856950_NDL.106I2:T7	chr2	2q23	CH477431.1	480153	480153
CC843631_NDL.106I2:SP6	chr2	2q23	CH477431.1	388892	388892
CC852408_NDL.131B4:T7	chr2	2q23	CH477527.1	580021	580021
CC852405_NDL.131B4:SP6	chr2	2q23	CH477527.1	476998	476998
CC867152_NDL.036A1:T7	chr2	2q23	CH477692.1	298546	298546
BM005500_(LF275)_NDL.036A1:GM	chr2	2q23	CH477692.1	283754	283754
CC867148_NDL.036A1:SP6	chr2	2q23	CH477692.1	221837	221837
CC110023_NDL.043O14:T7	chr2	2q23-24	CH477342.1	623837	623837
CC150194_NDL.043O14:SP6	chr2	2q23-24	CH477342.1	520636	520636
CC116791_NDL.065G2:T7	chr2	2q24	CH477209.1	144469	144469
CC116663_NDL.065G2:SP6	chr2	2q24	CH477209.1	224916	224916
CC142584_NDL.094A14:T7	chr2	2q24	CH477209.1	2738726	2738726
CC142583_NDL.094A14:SP6	chr2	2q24	CH477209.1	2655728	2655728
CC136926_NDL.034J21:T7	chr2	2q24	CH477223.1	893837	893837
CC136922_NDL.034J21:SP6	chr2	2q24	CH477223.1	1005320	1005320
CC137832_NDL.053G23:T7	chr2	2q24	CH477240.1	1087609	1087609
CC137828_NDL.053G23:SP6	chr2	2q24	CH477240.1	981339	981339
CC853768_NDL.041B24:SP6	chr2	2q24	CH477595.1	608927	608927
CC844284_NDL.052E23:T7	chr2	2q24	CH477307.1	1599369	1599369
AF326338_(Sec61)_NDL.052E23:GM	chr2	2q24	CH477307.1	1518398	1518398
CC844276_NDL.052E23:SP6	chr2	2q24	CH477307.1	1482037	1482037
CC136995_NDL.042C15:T7	chr2	2q24	CH477320.1	140053	140053
CC136989_NDL.042C15:SP6	chr2	2q24	CH477320.1	222902	222902
CC135990_NDL.042F21:T7	chr2	2q24	CH477355.1	188217	188217
CC135986_NDL.042F21:SP6	chr2	2q24	CH477250.1	758268	758268
CC119901_NDL.079I15:T7	chr2	2q24	CH477411.1	1004555	1004555
CC119897_NDL.079I15:SP6	chr2	2q24	CH477411.1	1105058	1105058
CC150939_NDL.040K7:T7	chr2	2q31	CH477212.1	2296251	2296251
CC150828_NDL.040K7:SP6	chr2	2q31	CH477212.1	2203894	2203894
CC853419_NDL.110I23:SP6	chr2	2q31	CH477286.1	2726166	2726166
CC849408_NDL.121C2:T7	chr2	2q31	CH477355.1	364155	364155
CC849403_NDL.121C2:SP6	chr2	2q31	CH477347.1	408765	408765
CC855795_NDL.041C6:T7	chr2	2q31	CH478349.1	87606	87606
U91682_(VMP15a-3)_NDL.041C6:GM	chr2	2q31	CH477401.1	1568195	1568195
CC855697_NDL.041C6:SP6	chr2	2q31	CH478349.1	132	132
CC120733_NDL.045B9:T7	chr2	2q31	CH477519.1	480527	480527
CC120728_NDL.045B9:SP6	chr2	2q31	CH477519.1	380663	380663
CC845170_NDL.098F24:T7	chr2	2q31	CH477557.1	446651	446651
CC845166_NDL.098F24:SP6	chr2	2q31	CH477557.1	332874	332874
AY038041_(AEG12)_NDL.067K5:GM	chr2	2q31	CH477662.1	806098	806098
CC107188_NDL.028D13:T7	chr2	2q31* 2q13^	CH477337.1	99534	99534
CC107181_NDL.028D13:SP6	chr2	2q31* 2q13^	CH477337.1	189458	189458
CC136849_NDL.013I3:SP6	chr2	2q31* multiple signals	CH477974.1	299643	299643
CC124931_NDL.027P22:T7	chr2	2q32	CH477212.1	551980	551980
CC124926_NDL.027P22:SP6	chr2	2q32	CH477212.1	381366	381366
CC849870_NDL.100H19:T7	chr2	2q32	CH477212.1	1028421	1028421
CC849866_NDL.100H19:SP6	chr2	2q32	CH477212.1	1166641	1166641
CC860389_NDL.128O17:T7	chr2	2q32	CH477286.1	11798	11798
CC860382_NDL.128O17:SP6	chr2	2q32	CH477286.1	109690	109690
CC850966_NDL.118A24:T7	chr2	2q32	CH477387.1	1831986	1831986
CC850962_NDL.118A24:SP6	chr2	2q32	CH477387.1	1743656	1743656
CC136944_NDL.025P18:T7	chr2	2q32	CH477401.1	220663	220663
CC136942_NDL.025P18:SP6	chr2	2q32	CH477401.1	119702	119702
CC131388_NDL.023F4:T7	chr2	2q33	CH477191.1	1473414	1473414
CC131382_NDL.023F4:SP6	chr2	2q33	CH477191.1	1573051	1573051
CC144209_NDL.034K11:T7	chr2	2q33	CH477212.1	1293310	1293310
CC144203_NDL.034K11:SP6	chr2	2q33	CH477212.1	1424207	1424207
CC861679_NDL.111G22:T7	chr2	2q33	CH477233.1	678087	678087
BM005495_(LF357)_NDL.111G22:GM	chr2	2q33	CH477233.1	602489	602489
CC861676_NDL.111G22:SP6	chr2	2q33	CH477233.1	589242	589242
CC848570_NDL.052J18:T7	chr2	2q33	CH477261.1	55709	55709
AY038039_(Chym_(LF173))_NDL.052J18:GM	chr2	2q33	CH477261.1	108743	108743
CC848565_NDL.052J18:SP6	chr2	2q33	CH478212.1	270262	270262
CC108444_NDL.018I10:T7	chr2	2q33	CH477286.1	438311	438311
CC151380_NDL.018I10:SP6	chr2	2q33	CH477286.1	537530	537530
CC121937_NDL.027N12:T7	chr2	2q33	CH477299.1	1189335	1189335
CC121932_NDL.027N12:SP6	chr2	2q33	CH477299.1	1035198	1035198
CC121699_NDL.029F24:T7	chr2	2q33	CH477313.1	1331290	1331290
CC121696_NDL.029F24:SP6	chr2	2q33	CH477313.1	1424979	1424979
CC134137_NDL.024A4:T7	chr2	2q33	CH477428.1	527698	527698
CC134132_NDL.024A4:SP6	chr2	2q33	CH477428.1	397024	397024
CC864163_NDL.099M12:T7	chr2	2q33	CH477519.1	1147208	1147208
CC864156_NDL.099M12:SP6	chr2	2q33	CH477519.1	1100230	1100230
CC140790_NDL.079D19:T7	chr2	2q33	CH478001.1	193704	193704
BM005504_(LF129)_NDL.079D19:GM	chr2	2q33	CH478001.1	198747	198747
CC140786_NDL.079D19:SP6	chr2	2q33	CH477395.1	2002040	2002040
CC868864_NDL.129A16:T7	chr2	2q33* 3p33	CH477212.1	1007837	1007837
CC868859_NDL.129A16:SP6	chr2	2q33* 3p33	CH477212.1	899342	899342
CC137715_NDL.049G15:T7	chr2	2q33* 3p34^ 3q41^	CH477212.1	1166631	1166631
CC137708_NDL.049G15:SP6	chr2	2q33* 3p34^ 3q41^	CH477212.1	1089764	1089764
CC864061_NDL.131G19:T7	chr2	2q34	CH477191.1	2812804	2812804
CC864059_NDL.131G19:SP6	chr2	2q34	CH477191.1	2726808	2726808
CC872327_NDL.113P12:T7	chr2	2q34	CH477216.1	3144706	3144706
CC872322_NDL.113P12:SP6	chr2	2q34	CH477216.1	3241022	3241022
CC844214_NDL.115P20:T7	chr2	2q34	CH477228.1	2451963	2451963
CC850807_NDL.115P20:SP6	chr2	2q34	CH477228.1	2600672	2600672
CC865081_NDL.074F2:SP6	chr2	2q34	CH477595.1	221381	221381
CC842062_NDL.131M6:T7	chr2	2q34	CH477454.1	1566796	1566796
CC842060_NDL.131M6:SP6	chr2	2q34	CH477454.1	1461795	1461795
CC139240_NDL.023E20:T7	chr2	2q34*	CH477353.1	109416	109416
CC139236_NDL.023E20:SP6	chr2	2q34*	CH477353.1	86383	86383
CC137309_NDL.032L22:T7	chr2	2q35	CH477197.1	2327588	2327588
CC137303_NDL.032L22:SP6	chr2	2q35	CH477197.1	2413004	2413004
CC861997_NDL.112B9:T7	chr2	2q35	CH477210.1	3781310	3781310
CC861993_NDL.112B9:SP6	chr2	2q35	CH477210.1	3626799	3626799
CC864759_NDL.114F2:T7	chr2	2q35	CH477212.1	106764	106764
CC864756_NDL.114F2:SP6	chr2	2q35	CH477212.1	183307	183307
CC120539_NDL.018I7:T7	chr2	2q35	CH477230.1	338385	338385
AF004351_(GS1)_NDL.018I7:GM	chr2	2q35	CH477230.1	298836	298836
CC150986_NDL.018I7:SP6	chr2	2q35	CH477230.1	255306	255306
CC141126_NDL.023B17:T7	chr2	2q35	CH477230.1	1419501	1419501
CC141119_NDL.023B17:SP6	chr2	2q35	CH477230.1	1478271	1478271
CC856895_NDL.008O21:T7	chr2	2q35	CH477299.1	698104	698104
CC856893_NDL.008O21:SP6	chr2	2q35	CH477299.1	506790	506790
CC137000_NDL.005G11:T7	chr2	2q35	CH477353.1	464893	464893
CC131441_NDL.005G11:SP6	chr2	2q35	CH477353.1	366928	366928
CC112205_NDL.014N18:T7	chr2	2q35	CH477415.1	1001725	1001725
CC112201_NDL.014N18:SP6	chr2	2q35	CH477415.1	839654	839654
CC112176_NDL.060F1:T7	chr2	2q35	CH477458.1	1271698	1271698
CC112174_NDL.060F1:SP6	chr2	2q35	CH477458.1	1188779	1188779
CC843210_NDL.082I17:T7	chr2	2q35	CH477458.1	113945	113945
CC843203_NDL.082I17:SP6	chr2	2q35	CH477458.1	201207	201207
CC133317_NDL.023F10:T7	chr2	2q35^ 1p32^ 3p34^	CH477216.1	2605715	2605715
CC133314_NDL.023F10:SP6	chr2	2q35^ 1p32^ 3p34^	CH477216.1	2484387	2484387
CC126029_NDL.007F16:SP6	chr2	2q36	CH477197.1	2749359	2749359
CC869405_NDL.062K20:T7	chr2	2q36	CH477197.1	2327588	2327588
CC869401_NDL.062K20:SP6	chr2	2q36	CH477197.1	2392533	2392533
CC132641_NDL.073P15:T7	chr2	2q36	CH477210.1	3626758	3626758
CC132634_NDL.073P15:SP6	chr2	2q36	CH477210.1	3726767	3726767
CC109642_NDL.077N21:T7	chr2	2q36	CH477228.1	1489980	1489980
CC114300_NDL.072H9:T7	chr2	2q36	CH477232.1	1020845	1020845
CC114295_NDL.072H9:SP6	chr2	2q36	CH477232.1	1159524	1159524
M33156_(D7)_NDL.048J19:GM	chr2	2q36	CH477389.1	345731	345731
CC128247_NDL.054E20:T7	chr2	2q36	CH477415.1	912766	912766
CC128128_NDL.054E20:SP6	chr2	2q36	CH477415.1	740499	740499
CC139366_NDL.016G18:T7	chr2	2q36	CH477514.1	354438	354438
CC139360_NDL.016G18:SP6	chr2	2q36	CH477514.1	445747	445747
CC135451_NDL.072D22:T7	chr2	2q36	CH477611.1	371463	371463
CC135444_NDL.072D22:SP6	chr2	2q36	CH477611.1	538853	538853
CC129271_NDL.032A10:T7	chr2	2q37	CH477210.1	3432805	3432805
CC129265_NDL.032A10:SP6	chr2	2q37	CH477210.1	3550108	3550108
CC845086_NDL.123B21:T7	chr2	2q37	CH477210.1	362625	362625
CC845080_NDL.123B21:SP6	chr2	2q37	CH477210.1	260014	260014
CC874344_NDL.123E21:T7	chr2	2q37	CH477210.1	2066948	2066948
CC874341_NDL.123E21:SP6	chr2	2q37	CH477210.1	1975893	1975893
CC861706_NDL.125D16:SP6	chr2	2q37	CH477210.1	3744595	3744595
CC118423_NDL.031A5:T7	chr2	2q37	CH477232.1	855696	855696
CC118420_NDL.031A5:SP6	chr2	2q37	CH477232.1	782933	782933
CC866441_NDL.122O17:T7	chr2	2q37	CH477232.1	316940	316940
CC866435_NDL.122O17:SP6	chr2	2q37	CH477232.1	420025	420025
CC851113_NDL.123P14:T7	chr2	2q37	CH477232.1	3086537	3086537
CC851108_NDL.123P14:SP6	chr2	2q37	CH477232.1	2991721	2991721
CC860273_NDL.127F24:T7	chr2	2q37	CH477236.1	391059	391059
CC860271_NDL.127F24:SP6	chr2	2q37	CH477236.1	270932	270932
CC124778_NDL.019C8:T7	chr2	2q37	CH477269.1	1835442	1835442
CC124773_NDL.019C8:SP6	chr2	2q37	CH477269.1	1739109	1739109
CC134962_NDL.047P21:T7	chr2	2q37	CH477389.1	269577	269577
CC134957_NDL.047P21:SP6	chr2	2q37	CH477389.1	182855	182855
BH214534_(B8M980)_NDL.036I21:GM	chr2	2q37	CH477501.1	502043	502043
CC137913_NDL.023B7:T7	chr2	2q37	CH477556.1	660961	660961
CC137909_NDL.023B7:SP6	chr2	2q37	CH477556.1	554655	554655
CC109622_NDL.072B17:T7	chr2	2q37	CH477556.1	587903	587903
CC109618_NDL.072B17:SP6	chr2	2q37	CH477556.1	658356	658356
CC853904_NDL.131N10:T7	chr2	2q41	CH477197.1	4082828	4082828
CC853902_NDL.131N10:SP6	chr2	2q41	CH477197.1	4156130	4156130
CC851057_NDL.129F10:T7	chr2	2q41	CH477210.1	1282615	1282615
CC851051_NDL.129F10:SP6	chr2	2q41	CH477210.1	1175940	1175940
CC132513_NDL.031L6:T7	chr2	2q41	CH477225.1	8174	8174
CC132508_NDL.031L6:SP6	chr2	2q41	CH477225.1	116193	116193
CC120889_NDL.080C6:T7	chr2	2q41	CH477225.1	2303896	2303896
CC120887_NDL.080C6:SP6	chr2	2q41	CH477225.1	2228461	2228461
CC119660_NDL.089L3:T7	chr2	2q41	CH477236.1	2458206	2458206
CC119655_NDL.089L3:SP6	chr2	2q41	CH477236.1	2552136	2552136
CC117851_NDL.007K11:T7	chr2	2q41	CH477324.1	211295	211295
CC117847_NDL.007K11:SP6	chr2	2q41	CH477324.1	301975	301975
CC115068_NDL.089O3:T7	chr2	2q41	CH477390.1	648122	648122
CC115065_NDL.089O3:SP6	chr2	2q41	CH477390.1	539346	539346
CC108655_NDL.012H23:T7	chr2	2q41	CH477424.1	965136	965136
CC108651_NDL.012H23:SP6	chr2	2q41	CH477424.1	853268	853268
CC850916_NDL.044A23:T7	chr2	2q41	CH477429.1	1351169	1351169
BM005505_(LF335)_NDL.044A23:GM	chr2	2q41	CH477429.1	1483370	1483370
CC844954_NDL.022N19:T7	chr2	2q42	CH477199.1	4090221	4090221
BH214535_(D6L600)_NDL.022N19:GM	chr2	2q42	CH477199.1	4028628	4028628
CC844953_NDL.022N19:SP6	chr2	2q42	CH477199.1	3943808	3943808
CC142181_NDL.037A17:T7	chr2	2q42	CH477214.1	1868069	1868069
CC142176_NDL.037A17:SP6	chr2	2q42	CH477214.1	1735460	1735460
AF329893_(CRALBP)_NDL.088D9:GM	chr2	2q42	CH477214.1	3156060	3156060
CC845941_NDL.110J5:T7	chr2	2q42	CH477269.1	746003	746003
CC845936_NDL.110J5:SP6	chr2	2q42	CH477269.1	599883	599883
CC134023_NDL.005F4:T7	chr2	2q42	CH477306.1	748565	748565
CC108913_NDL.005F4:SP6	chr2	2q42	CH477306.1	862249	862249
CC873776_NDL.044L19:T7	chr2	2q42	CH477358.1	693414	693414
CC873773_NDL.044L19:SP6	chr2	2q42	CH477358.1	771782	771782
CC114780_NDL.057G4:T7	chr2	2q42	CH477398.1	1055129	1055129
CC114777_NDL.057G4:SP6	chr2	2q42	CH477398.1	1128792	1128792
CC137975_NDL.065G4:T7	chr2	2q42	CH477424.1	921227	921227
CC137843_NDL.065G4:SP6	chr2	2q42	CH477424.1	996307	996307
CC872215_NDL.132J22:T7	chr2	2q42	CH477477.1	690133	690133
CC872211_NDL.132J22:SP6	chr2	2q42	CH477477.1	813337	813337
R19561_(ARC1)_NDL.060L12:GM	chr2	2q42* multiple signals	CH477199.1	1342330	1342330
CC847851_NDL.064C8:T7	chr2	2q43	CH477225.1	3088998	3088998
CC112569_NDL.087H3:T7	chr2	2q43	CH477226.1	1543224	1543224
CC112565_NDL.087H3:SP6	chr2	2q43	CH477226.1	1598171	1598171
CC113658_NDL.080A13:T7	chr2	2q43	CH477306.1	760072	760072
CC853307_NDL.132J2:T7	chr2	2q43	CH477522.1	845791	845791
CC853303_NDL.132J2:SP6	chr2	2q43	CH477522.1	755878	755878
CC862086_NDL.118F7:T7	chr2	2q44	CH477370.1	278728	278728
CC862082_NDL.118F7:SP6	chr2	2q44	CH477370.1	415897	415897
CC114840_NDL.045E5:T7	chr2	2q44	CH477394.1	703156	703156
BM005514_(LF211)_NDL.045E5:GM	chr2	2q44	CH477394.1	732988	732988
CC114837_NDL.045E5:SP6	chr2	2q44	CH477394.1	800218	800218
CC107171_NDL.025H18:T7	chr2	2q44	CH477398.1	799099	799099
BH214537_(F17M590)_NDL.025H18:GM	chr2	2q44	CH477398.1	828019	828019
CC107168_NDL.025H18:SP6	chr2	2q44	CH477398.1	891898	891898
BM005515_(LF223)_NDL.098E9:GM	chr2	2q44	CH477460.1	879606	879606
CC861870_NDL.098E9:SP6	chr2	2q44	CH477527.1	571628	571628
CC136763_NDL.083P15:T7	chr2	2q44	CH477473.1	646858	646858
CC136757_NDL.083P15:SP6	chr2	2q44	CH477473.1	722907	722907
CC135531_NDL.046O19:T7	chr2	2q44	CH477276.1	2448482	2448482
CC143120_NDL.009F5:T7	chr3	3p44	CH477208.1	144596	144596
CC143114_NDL.009F5:SP6	chr3	3p44	CH477208.1	222950	222950
CC122753_NDL.049J18:T7	chr3	3p44	CH477393.1	1202318	1202318
CC122748_NDL.049J18:SP6	chr3	3p44	CH477393.1	1275512	1275512
CC142714_NDL.061M18:SP6	chr3	3p44	CH477408.1	656824	656824
CC864736_NDL.127N23:T7	chr3	3p44	CH477451.1	863435	863435
CC864731_NDL.127N23:SP6	chr3	3p44	CH477451.1	785322	785322
CC847484_NDL.041B18:T7	chr3	3p44	CH477486.1	1064607	1064607
T58329_(LF347)_NDL.041B18:GM	chr3	3p44	CH477486.1	1002026	1002026
CC847555_NDL.044G4:T7	chr3	3p43	CH477350.1	1442235	1442235
CC847550_NDL.044G4:SP6	chr3	3p43	CH477350.1	1518130	1518130
CC122855_NDL.078K24:T7	chr3	3p43	CH477412.1	849644	849644
CC122851_NDL.078K24:SP6	chr3	3p43	CH477412.1	1027853	1027853
CC141081_NDL.001O10:T7	chr3	3p43	CH477486.1	871232	871232
CC141078_NDL.001O10:SP6	chr3	3p43	CH477486.1	1020308	1020308
BM005494_(LF128)_NDL.088N4:GM	chr3	3p43	CH477489.1	1073207	1073207
BM005516_(LF316)_NDL.037K17:GM	chr3	3p42* multiple signals	CH477571.1	344690	344690
CC119406_NDL.037K17:SP6	chr3	3p42* multiple signals	CH477571.1	260771	260771
CC857055_NDL.033C11:T7	chr3	3p42	CH477292.1	654047	654047
CC856942_NDL.033C11:SP6	chr3	3p42	CH477292.1	554911	554911
CC143821_NDL.050N15:T7	chr3	3p42	CH477393.1	72829	72829
CC151151_NDL.050N15:SP6	chr3	3p42	CH477393.1	152570	152570
CC858185_NDL.056E8:T7	chr3	3p42	CH477414.1	57262	57262
CC858180_NDL.056E8:SP6	chr3	3p42	CH477414.1	145785	145785
CC859260_NDL.128P16:T7	chr3	3p41	CH477259.1	440953	440953
CC859256_NDL.128P16:SP6	chr3	3p41	CH477259.1	515409	515409
CC870947_NDL.116E24:T7	chr3	3p41	CH477350.1	231890	231890
CC849647_NDL.116E24:SP6	chr3	3p41	CH477350.1	122837	122837
CC130240_NDL.072N6:T7	chr3	3p41	CH477408.1	595324	595324
CC130237_NDL.072N6:SP6	chr3	3p41	CH477408.1	500414	500414
CC140081_NDL.012M19:T7	chr3	3p41	CH477505.1	29879	29879
CC140078_NDL.012M19:SP6	chr3	3p41	CH477505.1	138172	138172
CC843304_NDL.115D12:T7	chr3	3p41	CH477550.1	95858	95858
CC869102_NDL.115D12:SP6	chr3	3p41	CH477550.1	25484	25484
CC151681_NDL.043O5:T7	chr3	3p34	CH477344.1	804766	804766
BM005498_(LF396)_NDL.043O5:GM	chr3	3p34	CH477344.1	730011	730011
BM005491_(LF96)_NDL.017O2:GM	chr3	3p34	CH477382.1	948826	948826
CC848236_NDL.017O2:SP6	chr3	3p34	CH477382.1	845799	845799
T58323_(LF227)_NDL.128P22:GM	chr3	3p34	CH477490.1	1330781	1330781
BM005492_(LF111)_NDL.011F1:GM	chr3	3p33* multiple signals	CH477326.1	891054	891054
CC873709_NDL.104O20:T7	chr3	3p33	CH477215.1	824468	824468
CC861567_NDL.104O20:SP6	chr3	3p33	CH477215.1	912921	912921
CC842609_NDL.033C13:T7	chr3	3p33	CH477279.1	810330	810330
CC842487_NDL.033C13:SP6	chr3	3p33	CH477279.1	942649	942649
CC141589_NDL.087E8:T7	chr3	3p33	CH477668.1	812281	812281
CC141585_NDL.087E8:SP6	chr3	3p33	CH477668.1	914440	914440
CC114744_NDL.050P12:T7	chr3	3p33	CH477372.1	1446915	1446915
CC114739_NDL.050P12:SP6	chr3	3p33	CH477372.1	1588311	1588311
BM005493_(LF92)_NDL.005A24:GM	chr3	3p32* multiple signals	CH477394.1	1410364	1410364
CC131117_NDL.083G11:T7	chr3	3p32	CH477276.1	2413207	2413207
CC131113_NDL.083G11:SP6	chr3	3p32	CH477276.1	2491400	2491400
CC133516_NDL.049M20:T7	chr3	3p32	CH477284.1	1965666	1965666
CC133511_NDL.049M20:SP6	chr3	3p32	CH477284.1	2091465	2091465
CC143387_NDL.013B2:T7	chr3	3p32	CH477331.1	1846029	1846029
CC143383_NDL.013B2:SP6	chr3	3p32	CH477331.1	1974328	1974328
CC125690_NDL.073A24:T7	chr3	3p32	CH477626.1	410110	410110
AF038654_(apoLp-II)_NDL.073A24:GM	chr3	3p32	CH477626.1	667976	667976
CC125687_NDL.073A24:SP6	chr3	3p32	CH477626.1	667737	667737
CC116375_NDL.089O7:T7	chr3	3p31 	CH477186.1	3889315	3889315
CC116371_NDL.089O7:SP6	chr3	3p31 	CH477186.1	3812642	3812642
CC863970_NDL.129D8:T7	chr3	3p31	CH477188.1	1084863	1084863
CC863969_NDL.129D8:SP6	chr3	3p31	CH477188.1	922576	922576
CC861109_NDL.022N5:T7	chr3	3p31	CH477192.1	4270430	4270430
M30442_(MalI)_NDL.022N5:GM	chr3	3p31	CH477192.1	4371326	4371326
CC113839_NDL.037G23:T7	chr3	3p31	CH477270.1	251737	251737
CC113835_NDL.037G23:SP6	chr3	3p31	CH477270.1	324839	324839
CC863884_NDL.030K18:T7	chr3	3p31	CH477325.1	55020	55020
BM005478_(LF231)_NDL.027C12:GM	chr3	3p23	CH477186.1	4236629	4236629
CC132563_NDL.027C12:SP6	chr3	3p23	CH477186.1	4333821	4333821
CC116375_NDL.089O7:T7	chr3	3p23	CH477186.1	3889315	3889315
CC116371_NDL.089O7:SP6	chr3	3p23	CH477186.1	3812642	3812642
CC109256_NDL.043A10:T7	chr3	3p23	CH477487.1	331995	331995
CC109251_NDL.043A10:SP6	chr3	3p23	CH477487.1	430791	430791
CC143669_NDL.072H24:T7	chr3	3p22	CH477202.1	1121405	1121405
BM005489_(LF232)_NDL.072H24:GM	chr3	3p22	CH477202.1	998348	998348
