Contig with marker, accession number	Linkage map chromosome (Juneja et al.)	Linkage map position, cM (Juneja et al.)	AaegL2 scaffold	Start position on AaegL2 scaffold	End position on AaegL2 scaffold
AAGE02004783.1	chr2	21.697	CH477262.1	2171702	2237749
AAGE02004784.1	chr2	21.697	CH477262.1	2237850	2319427
AAGE02004788.1	chr2	21.697	CH477262.1	2373332	2450865
AAGE02004790.1	chr2	21.697	CH477262.1	2581048	2656004
AAGE02004795.1	chr2	21.697	CH477262.1	2724112	2758382
AAGE02004822.1	chr3	40.78	CH477263.1	894208	1018922
AAGE02004825.1	chr3	40.78	CH477263.1	1052558	1168212
AAGE02004827.1	chr3	40.78	CH477263.1	1175228	1255038
AAGE02004850.1	chr2	49.629	CH477263.1	2227504	2315258
AAGE02004868.1	chr3	33.231	CH477264.1	188931	388279
AAGE02004871.1	chr3	33.231	CH477264.1	508101	647363
AAGE02004874.1	chr3	33.231	CH477264.1	1129503	1323148
AAGE02004880.1	chr3	37.92	CH477264.1	1752672	1835067
AAGE02004883.1	chr3	37.92	CH477264.1	2074953	2118964
AAGE02004888.1	chr3	33.231	CH477264.1	2279120	2503313
AAGE02004889.1	chr3	33.231	CH477264.1	2503414	2610435
AAGE02004900.1	chr1	45.369	CH477265.1	145886	347018
AAGE02004908.1	chr1	45.369	CH477265.1	686477	783278
AAGE02005009.1	chr2	58.962	CH477267.1	469963	552462
AAGE02005054.1	chr1	49.189	CH477267.1	2157705	2257874
AAGE02005059.1	chr1	49.189	CH477267.1	2310102	2392939
AAGE02005064.1	chr1	49.189	CH477267.1	2529716	2679537
AAGE02005067.1	chr1	49.189	CH477267.1	2788545	2850389
AAGE02005086.1	chr3	60.87	CH477268.1	542936	639396
AAGE02005087.1	chr3	60.87	CH477268.1	639515	734650
AAGE02005093.1	chr3	60.87	CH477268.1	918148	1016990
AAGE02005096.1	chr3	60.87	CH477268.1	1121664	1208204
AAGE02005098.1	chr3	60.87	CH477268.1	1273908	1328352
AAGE02005100.1	chr3	60.87	CH477268.1	1378133	1437440
AAGE02005150.1	chr2	70.322	CH477269.1	1356415	1618744
AAGE02005154.1	chr2	70.322	CH477269.1	1700077	1825659
AAGE02005156.1	chr2	70.322	CH477269.1	1960786	2236771
AAGE02005158.1	chr2	70.322	CH477269.1	2276808	2296943
AAGE02005170.1	chr1	21.535	CH477269.1	2645186	2786999
AAGE02005182.1	chr3	28.979	CH477270.1	1	82702
AAGE02005187.1	chr3	28.979	CH477270.1	497698	580277
AAGE02005201.1	chr3	28.979	CH477270.1	1266066	1335323
AAGE02005258.1	chr3	33.231	CH477272.1	984703	1013172
AAGE02005268.1	chr3	33.231	CH477272.1	1573343	1602819
AAGE02005269.1	chr3	33.231	CH477272.1	1611715	1711041
AAGE02005300.1	chr2	52.532	CH477273.1	473168	695490
AAGE02005314.1	chr1	24.396	CH477273.1	1953304	2135115
AAGE02005321.1	chr1	24.396	CH477273.1	2389216	2675015
AAGE02005363.1	chr2	52.532	CH477274.1	1930223	2046292
AAGE02005367.1	chr2	52.532	CH477274.1	2178659	2224633
AAGE02005376.1	chr2	52.532	CH477274.1	2675175	2730716
AAGE02005388.1	chr2	52.532	CH477275.1	282373	507858
AAGE02005390.1	chr2	52.532	CH477275.1	510096	548235
AAGE02005392.1	chr2	52.532	CH477275.1	555460	680711
AAGE02005396.1	chr2	46.756	CH477275.1	733699	763198
AAGE02005402.1	chr2	52.532	CH477275.1	941235	1116530
AAGE02005406.1	chr2	52.532	CH477275.1	1306747	1346429
AAGE02005410.1	chr2	52.532	CH477275.1	1440827	1608807
AAGE02005411.1	chr2	52.532	CH477275.1	1612845	1655297
AAGE02005505.1	chr2	55.421	CH477277.1	1022736	1137849
AAGE02005508.1	chr2	55.421	CH477277.1	1171344	1299700
AAGE02005515.1	chr2	55.421	CH477277.1	1356785	1398510
AAGE02005619.1	chr1	21.535	CH477278.1	2545456	2601643
AAGE02005623.1	chr1	21.535	CH477278.1	2645163	2690662
AAGE02005624.1	chr1	21.535	CH477278.1	2690902	2741378
AAGE02005627.1	chr1	21.535	CH477278.1	2760412	2788888
AAGE02005635.1	chr3	28.979	CH477279.1	142510	258017
AAGE02005695.1	chr2	49.629	CH477280.1	64233	175147
AAGE02005701.1	chr2	49.629	CH477280.1	368568	409487
AAGE02005716.1	chr2	49.629	CH477280.1	982980	1088393
AAGE02005724.1	chr2	49.629	CH477280.1	1470467	1497553
AAGE02005773.1	chr1	24.396	CH477281.1	246231	462645
AAGE02005790.1	chr1	24.396	CH477281.1	1039892	1082195
AAGE02005794.1	chr1	24.396	CH477281.1	1373224	1618041
AAGE02005799.1	chr1	24.396	CH477281.1	1921967	2007009
AAGE02005801.1	chr1	24.396	CH477281.1	2030008	2072785
AAGE02005806.1	chr1	24.396	CH477281.1	2165327	2239022
AAGE02005814.1	chr3	33.231	CH477281.1	2562618	2741032
AAGE02005817.1	chr1	21.535	CH477282.1	38866	104859
AAGE02005846.1	chr1	0	CH477282.1	1038838	1172563
AAGE02005869.1	chr1	0	CH477282.1	2206049	2244462
AAGE02005909.1	chr3	60.87	CH477283.1	840173	930228
AAGE02005915.1	chr3	60.87	CH477283.1	1123201	1222955
AAGE02005916.1	chr3	60.87	CH477283.1	1224883	1323468
AAGE02005918.1	chr3	60.87	CH477283.1	1337735	1365620
AAGE02005919.1	chr3	60.87	CH477283.1	1366228	1419034
AAGE02005922.1	chr3	60.87	CH477283.1	1481603	1590017
AAGE02005924.1	chr3	60.87	CH477283.1	1593874	1690541
AAGE02005925.1	chr3	60.87	CH477283.1	1690642	1730585
AAGE02005926.1	chr3	60.87	CH477283.1	1730686	1789249
AAGE02005927.1	chr3	60.87	CH477283.1	1789527	2031100
AAGE02006001.1	chr1	24.396	CH477285.1	289799	340883
AAGE02006003.1	chr1	24.396	CH477285.1	354320	425990
AAGE02006004.1	chr1	24.396	CH477285.1	426091	469543
AAGE02006011.1	chr1	24.396	CH477285.1	556933	706433
AAGE02006012.1	chr1	24.396	CH477285.1	706534	746213
AAGE02006014.1	chr1	24.396	CH477285.1	754751	850882
AAGE02006025.1	chr1	24.396	CH477285.1	1700818	1990514
AAGE02006028.1	chr1	24.396	CH477285.1	2355648	2595172
AAGE02006067.1	chr3	8.823	CH477286.1	1059194	1072611
AAGE02006075.1	chr3	5.829	CH477286.1	1285736	1427311
AAGE02006079.1	chr3	5.829	CH477286.1	1518241	1587709
AAGE02006082.1	chr3	5.829	CH477286.1	1701222	1741817
AAGE02006133.1	chr3	33.231	CH477287.1	327812	360497
AAGE02006135.1	chr3	33.231	CH477287.1	462190	823255
AAGE02006136.1	chr3	33.231	CH477287.1	823553	923332
AAGE02006137.1	chr3	33.231	CH477287.1	923433	1005280
AAGE02006142.1	chr3	33.231	CH477287.1	1056678	1159142
AAGE02006145.1	chr3	33.231	CH477287.1	1258755	1376606
AAGE02006147.1	chr3	33.231	CH477287.1	1494285	1711786
AAGE02006149.1	chr3	33.231	CH477287.1	1860133	1922041
AAGE02006151.1	chr3	33.231	CH477287.1	1935476	2497977
AAGE02006152.1	chr3	33.231	CH477287.1	2498078	2665163
AAGE02006157.1	chr2	52.532	CH477288.1	85993	193323
AAGE02006158.1	chr2	52.532	CH477288.1	199948	545995
AAGE02006159.1	chr2	52.532	CH477288.1	546096	732825
AAGE02006161.1	chr2	52.532	CH477288.1	749768	1084013
AAGE02006164.1	chr2	52.532	CH477288.1	1173370	1259850
AAGE02006165.1	chr2	52.532	CH477288.1	1259951	1318054
AAGE02006166.1	chr2	52.532	CH477288.1	1318428	1465301
AAGE02006184.1	chr2	52.532	CH477288.1	2520609	2574057
AAGE02006312.1	chr1	21.535	CH477291.1	2245096	2447182
AAGE02006318.1	chr2	49.629	CH477291.1	2545343	2597682
AAGE02006319.1	chr3	86.75	CH477292.1	1	157158
AAGE02006323.1	chr3	86.75	CH477292.1	276029	502415
AAGE02006327.1	chr3	86.75	CH477292.1	736817	957408
AAGE02006332.1	chr3	83.889	CH477292.1	1253912	1406328
AAGE02006333.1	chr3	83.889	CH477292.1	1406429	1733931
AAGE02006335.1	chr3	83.889	CH477292.1	2076133	2231084
AAGE02006337.1	chr3	83.889	CH477292.1	2265256	2442567
AAGE02006338.1	chr3	79.713	CH477292.1	2442959	2520263
AAGE02006355.1	chr2	52.532	CH477293.1	615632	769750
AAGE02006357.1	chr2	52.532	CH477293.1	894013	954855
AAGE02006360.1	chr2	52.532	CH477293.1	1015071	1096139
AAGE02006361.1	chr2	52.532	CH477293.1	1096240	1171445
AAGE02006384.1	chr3	33.231	CH477293.1	2004761	2024170
AAGE02006399.1	chr2	49.629	CH477294.1	108269	203637
AAGE02006400.1	chr2	49.629	CH477294.1	203738	209377
AAGE02006407.1	chr2	49.629	CH477294.1	436510	628832
AAGE02006409.1	chr2	49.629	CH477294.1	681932	798748
AAGE02006598.1	chr2	46.756	CH477297.1	369770	437350
AAGE02006611.1	chr2	46.756	CH477297.1	682537	724592
AAGE02006614.1	chr2	46.756	CH477297.1	744364	818918
AAGE02006615.1	chr2	46.756	CH477297.1	821287	882374
AAGE02006627.1	chr2	46.756	CH477297.1	1385749	1438440
AAGE02006632.1	chr2	46.756	CH477297.1	1500124	1587518
AAGE02006681.1	chr2	52.532	CH477298.1	945732	1028748
AAGE02006683.1	chr2	52.532	CH477298.1	1085941	1290753
AAGE02006685.1	chr2	52.532	CH477298.1	1311735	1419871
AAGE02006687.1	chr2	52.532	CH477298.1	1429947	1594615
AAGE02006691.1	chr2	52.532	CH477298.1	1680799	1731772
AAGE02006692.1	chr2	52.532	CH477298.1	1731873	1899647
AAGE02006716.1	chr2	65.871	CH477299.1	133520	354170
AAGE02006718.1	chr2	65.871	CH477299.1	362796	425682
AAGE02006723.1	chr2	65.871	CH477299.1	512655	572339
AAGE02006724.1	chr2	65.871	CH477299.1	572440	632735
AAGE02006725.1	chr2	65.871	CH477299.1	632845	682261
AAGE02006726.1	chr2	65.871	CH477299.1	682590	700994
AAGE02006733.1	chr2	65.871	CH477299.1	978506	1129984
AAGE02006734.1	chr2	65.871	CH477299.1	1130085	1310370
AAGE02006735.1	chr2	65.871	CH477299.1	1310471	1346887
AAGE02006736.1	chr2	65.871	CH477299.1	1346988	1355837
AAGE02006737.1	chr2	65.871	CH477299.1	1356023	1441212
AAGE02006738.1	chr2	65.871	CH477299.1	1441313	1491539
AAGE02006740.1	chr2	65.871	CH477299.1	1530105	1546015
AAGE02006743.1	chr2	65.871	CH477299.1	1603134	1680163
AAGE02006744.1	chr2	65.871	CH477299.1	1680264	1891556
AAGE02006748.1	chr3	20.398	CH477299.1	2081436	2269451
AAGE02006749.1	chr3	20.398	CH477299.1	2269570	2409876
AAGE02006760.1	chr3	60.87	CH477300.1	99477	291469
AAGE02006778.1	chr3	60.87	CH477300.1	980997	1043156
AAGE02006787.1	chr3	60.87	CH477300.1	2060707	2260154
AAGE02006788.1	chr3	60.87	CH477300.1	2262592	2279371
AAGE02006790.1	chr3	60.87	CH477300.1	2315864	2479458
AAGE02006854.1	chr1	24.396	CH477302.1	183879	578796
AAGE02006869.1	chr1	24.396	CH477302.1	1680720	1754455
AAGE02006921.1	chr3	37.92	CH477303.1	1044203	1116369
AAGE02006933.1	chr3	37.92	CH477303.1	1784480	1945024
AAGE02006941.1	chr3	37.92	CH477303.1	2254386	2359917
AAGE02007016.1	chr3	33.231	CH477305.1	1231614	1299127
AAGE02007018.1	chr3	33.231	CH477305.1	1331768	1496461
AAGE02007037.1	chr2	85.257	CH477306.1	218167	425867
AAGE02007041.1	chr2	85.257	CH477306.1	526810	855596
AAGE02007042.1	chr2	85.257	CH477306.1	855698	934693
AAGE02007043.1	chr2	85.257	CH477306.1	934794	1075491
AAGE02007045.1	chr2	85.257	CH477306.1	1168354	1227894
AAGE02007046.1	chr2	85.257	CH477306.1	1230673	1246290
AAGE02007048.1	chr2	85.257	CH477306.1	1310156	1457957
AAGE02007050.1	chr2	85.257	CH477306.1	1487183	1540525
AAGE02007051.1	chr2	85.257	CH477306.1	1541351	1609412
AAGE02007058.1	chr2	85.257	CH477306.1	1885778	1977140
AAGE02007059.1	chr2	85.257	CH477306.1	1977366	2058249
AAGE02007060.1	chr2	85.257	CH477306.1	2058350	2091319
AAGE02007070.1	chr1	4.47	CH477307.1	45022	184381
AAGE02007079.1	chr2	49.629	CH477307.1	369572	406776
AAGE02007085.1	chr2	52.532	CH477307.1	680113	883654
AAGE02007091.1	chr2	55.421	CH477307.1	1036008	1223596
AAGE02007092.1	chr2	55.421	CH477307.1	1225461	1255740
AAGE02007093.1	chr2	55.421	CH477307.1	1255841	1610816
AAGE02007096.1	chr2	55.421	CH477307.1	1627186	1917603
AAGE02007099.1	chr2	55.421	CH477307.1	1928005	2058689
AAGE02007100.1	chr2	55.421	CH477307.1	2065225	2105222
AAGE02007101.1	chr2	55.421	CH477307.1	2105323	2401221
AAGE02007117.1	chr1	21.535	CH477308.1	1245474	1329170
AAGE02007119.1	chr1	21.535	CH477308.1	1333373	1494095
AAGE02007121.1	chr1	21.535	CH477308.1	1526561	1683444
AAGE02007149.1	chr2	15.163	CH477309.1	292656	300352
AAGE02007181.1	chr2	15.163	CH477309.1	1274728	1325975
AAGE02007185.1	chr2	15.163	CH477309.1	1341083	1482721
AAGE02007216.1	chr1	21.535	CH477310.1	641647	710864
AAGE02007223.1	chr1	54.179	CH477310.1	887330	1062158
AAGE02007224.1	chr1	54.179	CH477310.1	1062259	1234957
AAGE02007237.1	chr1	54.179	CH477310.1	2059742	2113635
AAGE02007260.1	chr3	33.231	CH477311.1	680148	795226
AAGE02007261.1	chr3	33.231	CH477311.1	795624	809292
AAGE02007269.1	chr3	33.231	CH477311.1	1161342	1319807
AAGE02007271.1	chr3	33.231	CH477311.1	1352105	1435756
AAGE02007290.1	chr1	18.675	CH477312.1	139260	182755
AAGE02007294.1	chr1	18.675	CH477312.1	219735	230505
AAGE02007305.1	chr1	18.675	CH477312.1	791842	865899
AAGE02007334.1	chr1	21.535	CH477312.1	1826758	1892977
AAGE02007344.1	chr1	21.535	CH477312.1	2187346	2217241
AAGE02007413.1	chr3	33.231	CH477315.1	113082	170557
AAGE02007449.1	chr1	21.535	CH477315.1	1521952	1615328
AAGE02007455.1	chr1	21.535	CH477315.1	1841142	1956729
AAGE02007476.1	chr3	37.92	CH477316.1	190524	449695
AAGE02007486.1	chr3	40.78	CH477316.1	945999	1463329
AAGE02007489.1	chr3	40.78	CH477316.1	1581313	1648822
AAGE02007492.1	chr3	40.78	CH477316.1	1694310	1861558
AAGE02007493.1	chr3	40.78	CH477316.1	1861659	2203854
AAGE02007508.1	chr2	46.756	CH477317.1	151553	159859
AAGE02007533.1	chr2	46.756	CH477317.1	798163	926033
AAGE02007553.1	chr2	46.756	CH477317.1	1620226	1647394
AAGE02007580.1	chr1	45.369	CH477318.1	379728	426463
AAGE02007586.1	chr1	45.369	CH477318.1	705642	888308
AAGE02007590.1	chr1	45.369	CH477318.1	968481	1010665
AAGE02007592.1	chr1	45.369	CH477318.1	1031421	1110812
AAGE02007593.1	chr1	45.369	CH477318.1	1110913	1427835
AAGE02007707.1	chr2	52.532	CH477320.1	830904	861721
AAGE02007708.1	chr2	52.532	CH477320.1	861822	990854
AAGE02007709.1	chr2	52.532	CH477320.1	991157	1084557
AAGE02007710.1	chr2	52.532	CH477320.1	1084658	1133526
AAGE02007711.1	chr2	52.532	CH477320.1	1134812	1153899
AAGE02007713.1	chr2	52.532	CH477320.1	1173721	1296536
AAGE02007714.1	chr2	52.532	CH477320.1	1296671	1409859
AAGE02007718.1	chr2	52.532	CH477320.1	1482458	1523428
AAGE02007719.1	chr2	52.532	CH477320.1	1523546	1834691
AAGE02007722.1	chr2	52.532	CH477320.1	1997382	2151512
AAGE02007764.1	chr2	49.629	CH477322.1	17020	63661
AAGE02007768.1	chr2	49.629	CH477322.1	180437	190195
AAGE02007794.1	chr2	52.532	CH477322.1	571815	616056
AAGE02007795.1	chr2	52.532	CH477322.1	616567	1033204
AAGE02007806.1	chr2	52.532	CH477322.1	1595912	1987421
AAGE02007807.1	chr2	52.532	CH477322.1	1987641	2239969
AAGE02007826.1	chr3	57.985	CH477323.1	1431677	1637666
AAGE02007833.1	chr3	57.985	CH477323.1	1881004	1937176
AAGE02007842.1	chr2	85.257	CH477324.1	252144	461292
AAGE02007844.1	chr2	85.257	CH477324.1	489701	574546
AAGE02007847.1	chr2	85.257	CH477324.1	637075	804479
AAGE02007854.1	chr2	85.257	CH477324.1	1300499	1411355
AAGE02007859.1	chr2	85.257	CH477324.1	1567109	1913346
AAGE02007860.1	chr2	85.257	CH477324.1	1913447	2023808
AAGE02007916.1	chr3	28.979	CH477326.1	1041239	1335107
AAGE02007920.1	chr3	28.979	CH477326.1	1512103	1669555
AAGE02007921.1	chr3	28.979	CH477326.1	1669656	1686141
AAGE02007970.1	chr2	49.629	CH477327.1	871876	935616
AAGE02007998.1	chr2	49.629	CH477327.1	1860630	1892679
AAGE02008016.1	chr3	60.87	CH477328.1	66184	183576
AAGE02008019.1	chr3	60.87	CH477328.1	228376	445227
AAGE02008021.1	chr3	60.87	CH477328.1	460071	661213
AAGE02008022.1	chr3	60.87	CH477328.1	661314	978123
AAGE02008023.1	chr3	60.87	CH477328.1	978224	1030018
AAGE02008037.1	chr2	65.871	CH477328.1	2088352	2167940
AAGE02008067.1	chr3	43.641	CH477329.1	968145	1105964
AAGE02008099.1	chr2	46.756	CH477330.1	104544	404838
AAGE02008103.1	chr2	46.756	CH477330.1	463588	522119
AAGE02008114.1	chr2	0	CH477330.1	1194764	1271735
AAGE02008115.1	chr2	0	CH477330.1	1272501	1322736
AAGE02008128.1	chr2	0	CH477330.1	1929707	2028864
AAGE02008162.1	chr1	21.535	CH477332.1	1	121292
AAGE02008178.1	chr1	21.535	CH477332.1	910036	1104001
AAGE02008179.1	chr1	21.535	CH477332.1	1105574	1198644
AAGE02008181.1	chr1	21.535	CH477332.1	1207073	1241717
AAGE02008201.1	chr2	41.035	CH477333.1	371209	443863
AAGE02008214.1	chr2	41.035	CH477333.1	1314810	1338497
AAGE02008227.1	chr2	41.035	CH477333.1	1681202	1697256
AAGE02008355.1	chr2	52.532	CH477336.1	205747	280544
AAGE02008454.1	chr2	52.532	CH477339.1	1	20787
AAGE02008457.1	chr2	52.532	CH477339.1	87452	392516
AAGE02008462.1	chr2	52.532	CH477339.1	557321	1092600
AAGE02008468.1	chr2	52.532	CH477339.1	1361976	1513477
AAGE02008483.1	chr1	24.396	CH477340.1	123196	296276
AAGE02008488.1	chr1	24.396	CH477340.1	469140	617755
AAGE02008493.1	chr1	24.396	CH477340.1	1108621	1186130
AAGE02008497.1	chr1	24.396	CH477340.1	1409390	1538272
AAGE02008514.1	chr1	12.537	CH477341.1	97460	166493
AAGE02008547.1	chr1	12.537	CH477341.1	1293144	1305465
AAGE02008549.1	chr1	12.537	CH477341.1	1318950	1427459
AAGE02008550.1	chr1	12.537	CH477341.1	1427560	1501410
AAGE02008551.1	chr1	12.537	CH477341.1	1501511	1585967
AAGE02008555.1	chr1	12.537	CH477341.1	1606525	1653846
AAGE02008573.1	chr2	52.532	CH477342.1	98153	156427
AAGE02008574.1	chr2	52.532	CH477342.1	156756	210335
AAGE02008578.1	chr2	52.532	CH477342.1	228421	297376
AAGE02008579.1	chr2	52.532	CH477342.1	297477	432873
AAGE02008592.1	chr2	52.532	CH477342.1	882231	951528
AAGE02008594.1	chr2	52.532	CH477342.1	956555	978067
AAGE02008596.1	chr2	52.532	CH477342.1	983823	1016841
AAGE02008597.1	chr2	52.532	CH477342.1	1016942	1041607
AAGE02008599.1	chr2	52.532	CH477342.1	1067268	1150229
AAGE02008605.1	chr2	52.532	CH477342.1	1434571	1566915
AAGE02008606.1	chr2	52.532	CH477342.1	1567016	1639134
AAGE02008612.1	chr2	52.532	CH477342.1	1741107	1961141
AAGE02008617.1	chr3	69.452	CH477343.1	16007	157023
AAGE02008618.1	chr3	69.452	CH477343.1	157124	265184
AAGE02008630.1	chr3	69.452	CH477343.1	1148757	1366734
AAGE02008634.1	chr3	69.452	CH477343.1	1477683	1541306
AAGE02008636.1	chr3	66.591	CH477343.1	1547155	2048688
AAGE02008662.1	chr3	26.119	CH477344.1	933001	1010954
AAGE02008663.1	chr3	26.119	CH477344.1	1012262	1116811
AAGE02008666.1	chr3	26.119	CH477344.1	1180834	1209186
AAGE02008695.1	chr1	21.535	CH477345.1	324999	407016
AAGE02008704.1	chr1	21.535	CH477345.1	567423	693125
AAGE02008855.1	chr3	86.75	CH477348.1	382022	692703
AAGE02008856.1	chr3	86.75	CH477348.1	693104	733848
AAGE02008859.1	chr3	86.75	CH477348.1	845176	1116747
AAGE02008860.1	chr3	86.75	CH477348.1	1116848	1577278
AAGE02008863.1	chr3	86.75	CH477348.1	1684943	1761125
AAGE02008874.1	chr3	33.231	CH477349.1	194642	436562
AAGE02008880.1	chr3	33.231	CH477349.1	715652	1122310
AAGE02008881.1	chr3	33.231	CH477349.1	1122411	1151540
AAGE02008886.1	chr3	33.231	CH477349.1	1343623	1570328
AAGE02008902.1	chr3	0	CH477350.1	418969	559476
AAGE02008912.1	chr3	0	CH477350.1	1340286	1485606
AAGE02008913.1	chr3	0	CH477350.1	1486032	1648329
AAGE02008915.1	chr3	0	CH477350.1	1680187	1794864
AAGE02008917.1	chr3	0	CH477350.1	1832414	1913849
AAGE02008918.1	chr3	0	CH477350.1	1913950	1992430
AAGE02008922.1	chr1	0	CH477351.1	120622	214527
AAGE02008928.1	chr1	0	CH477351.1	465990	694919
AAGE02008939.1	chr1	0	CH477351.1	1726452	1794042
AAGE02008957.1	chr2	49.629	CH477352.1	154888	172587
AAGE02008965.1	chr2	49.629	CH477352.1	324011	430848
AAGE02008968.1	chr2	49.629	CH477352.1	459686	464022
AAGE02008976.1	chr2	49.629	CH477352.1	644390	762539
AAGE02008977.1	chr2	49.629	CH477352.1	767277	791450
AAGE02008981.1	chr2	49.629	CH477352.1	864218	1078120
AAGE02008982.1	chr2	49.629	CH477352.1	1078221	1114763
AAGE02008983.1	chr2	49.629	CH477352.1	1114864	1183614
AAGE02008991.1	chr2	49.629	CH477352.1	1458952	1549571
AAGE02009003.1	chr2	65.871	CH477353.1	94150	171828
AAGE02009004.1	chr2	65.871	CH477353.1	171989	209030
AAGE02009007.1	chr2	65.871	CH477353.1	354946	508330
AAGE02009008.1	chr2	65.871	CH477353.1	508431	889333
AAGE02009010.1	chr2	65.871	CH477353.1	911715	938888
AAGE02009011.1	chr2	65.871	CH477353.1	939074	973482
AAGE02009013.1	chr2	65.871	CH477353.1	976532	979630
AAGE02009014.1	chr2	65.871	CH477353.1	984852	987732
AAGE02009015.1	chr2	65.871	CH477353.1	987833	1030016
AAGE02009016.1	chr2	65.871	CH477353.1	1030117	1036527
AAGE02009017.1	chr2	65.871	CH477353.1	1036628	1056257
AAGE02009018.1	chr2	65.871	CH477353.1	1056401	1232251
AAGE02009019.1	chr2	65.871	CH477353.1	1232352	1398708
AAGE02009020.1	chr2	65.871	CH477353.1	1398843	1436506
AAGE02009021.1	chr2	65.871	CH477353.1	1436607	1509795
AAGE02009048.1	chr2	49.629	CH477354.1	761738	796627
AAGE02009072.1	chr2	49.629	CH477354.1	1338631	1399624
AAGE02009073.1	chr2	49.629	CH477354.1	1399725	1448898
AAGE02009079.1	chr2	49.629	CH477354.1	1544581	1573875
AAGE02009084.1	chr2	49.629	CH477354.1	1852626	1891850
AAGE02009085.1	chr2	49.629	CH477354.1	1891951	1953896
AAGE02009115.1	chr2	55.421	CH477355.1	644078	819060
AAGE02009158.1	chr1	21.535	CH477356.1	469489	501487
AAGE02009159.1	chr1	21.535	CH477356.1	501680	562453
AAGE02009170.1	chr1	21.535	CH477356.1	881056	1119558
AAGE02009182.1	chr1	21.535	CH477356.1	1405904	1527948
AAGE02009204.1	chr2	52.532	CH477357.1	310624	675374
AAGE02009210.1	chr2	79.537	CH477357.1	1354172	1848162
AAGE02009214.1	chr2	79.537	CH477357.1	1894904	1944529
AAGE02009218.1	chr2	79.537	CH477357.1	1979090	2035521
AAGE02009221.1	chr2	79.537	CH477358.1	1	154223
AAGE02009222.1	chr2	79.537	CH477358.1	154324	296746
AAGE02009223.1	chr2	79.537	CH477358.1	296847	440695
AAGE02009226.1	chr2	79.537	CH477358.1	501218	717358
AAGE02009228.1	chr2	79.537	CH477358.1	797113	902988
AAGE02009230.1	chr2	79.537	CH477358.1	906298	1192385
AAGE02009234.1	chr2	76.676	CH477358.1	1462793	1564229
AAGE02009237.1	chr2	76.676	CH477358.1	1691747	1810382
AAGE02009238.1	chr2	76.676	CH477358.1	1811731	1930942
AAGE02009246.1	chr3	33.231	CH477359.1	734000	821763
AAGE02009253.1	chr1	21.535	CH477359.1	1070577	1179572
AAGE02009267.1	chr1	21.535	CH477359.1	1938319	1961840
AAGE02009287.1	chr1	21.535	CH477360.1	464459	475938
AAGE02009293.1	chr1	21.535	CH477360.1	529523	542402
AAGE02009302.1	chr1	21.535	CH477360.1	722956	883582
AAGE02009381.1	chr1	18.675	CH477361.1	1015902	1108212
AAGE02009401.1	chr1	18.675	CH477361.1	1780564	1813408
AAGE02009479.1	chr3	40.78	CH477363.1	1319697	1524687
AAGE02009481.1	chr3	40.78	CH477363.1	1565855	1621929
AAGE02009482.1	chr3	40.78	CH477363.1	1622030	1781068
AAGE02009483.1	chr3	40.78	CH477363.1	1781169	1815248
AAGE02009489.1	chr3	40.78	CH477363.1	1878603	1930461
AAGE02009494.1	chr3	33.231	CH477364.1	236528	484548
AAGE02009495.1	chr3	33.231	CH477364.1	487981	618012
AAGE02009496.1	chr3	33.231	CH477364.1	618215	743101
AAGE02009497.1	chr3	33.231	CH477364.1	743202	829417
AAGE02009500.1	chr3	33.231	CH477364.1	1021400	1235053
AAGE02009501.1	chr3	33.231	CH477364.1	1235154	1260934
AAGE02009508.1	chr3	33.231	CH477364.1	1468951	1477899
AAGE02009511.1	chr3	33.231	CH477364.1	1537871	1607568
AAGE02009533.1	chr3	33.231	CH477365.1	398961	412464
AAGE02009547.1	chr3	33.231	CH477365.1	1118378	1155342
AAGE02009557.1	chr1	27.351	CH477366.1	108992	436527
AAGE02009576.1	chr1	27.351	CH477366.1	1646716	1678416
AAGE02009578.1	chr1	27.351	CH477366.1	1698257	1763123
AAGE02009585.1	chr3	33.231	CH477367.1	172878	267825
AAGE02009590.1	chr3	33.231	CH477367.1	341503	376414
AAGE02009593.1	chr3	33.231	CH477367.1	487556	597556
AAGE02009594.1	chr3	33.231	CH477367.1	604940	633844
AAGE02009595.1	chr3	33.231	CH477367.1	633945	659228
AAGE02009599.1	chr3	33.231	CH477367.1	879414	969089
AAGE02009601.1	chr3	33.231	CH477367.1	996025	1104377
AAGE02009629.1	chr2	0	CH477368.1	26965	173521
AAGE02009630.1	chr2	0	CH477368.1	173622	547811
AAGE02009650.1	chr2	0	CH477368.1	1541994	1678033
AAGE02009653.1	chr2	0	CH477368.1	1839611	1899110
AAGE02009655.1	chr3	33.231	CH477369.1	5977	91786
AAGE02009747.1	chr3	55.101	CH477371.1	778712	796406
AAGE02009750.1	chr3	55.101	CH477371.1	958346	1055823
AAGE02009752.1	chr3	55.101	CH477371.1	1115242	1215496
AAGE02009753.1	chr3	55.101	CH477371.1	1215612	1332013
AAGE02009764.1	chr3	5.829	CH477371.1	1523213	1624976
AAGE02009766.1	chr3	5.829	CH477371.1	1657408	1795679
AAGE02009833.1	chr1	21.535	CH477373.1	818189	870280
AAGE02009834.1	chr1	21.535	CH477373.1	870558	1040158
AAGE02009846.1	chr1	21.535	CH477373.1	1546490	1765558
AAGE02009974.1	chr1	40.366	CH477375.1	910901	1067618
AAGE02009977.1	chr1	40.366	CH477375.1	1176841	1372108
