CH477186.1 supercont1.1
CH477352.1 supercont1.167
CH478835.1 supercont1.1670
CH478836.1 supercont1.1671
CH478837.1 supercont1.1672
CH899814.1 supercont1.1673
CH478838.1 supercont1.1674
CH478839.1 supercont1.1675
CH478840.1 supercont1.1676
CH478841.1 supercont1.1677
CH478842.1 supercont1.1678
CH478843.1 supercont1.1679
CH477353.1 supercont1.168
CH478844.1 supercont1.1680
CH478845.1 supercont1.1681
CH478846.1 supercont1.1682
CH478847.1 supercont1.1683
CH478848.1 supercont1.1684
CH478849.1 supercont1.1685
CH899815.1 supercont1.1686
CH478850.1 supercont1.1687
CH478851.1 supercont1.1688
CH478852.1 supercont1.1689
CH899816.1 supercont1.1690
CH478853.1 supercont1.1691
CH478854.1 supercont1.1692
CH478855.1 supercont1.1693
CH478856.1 supercont1.1694
CH899817.1 supercont1.1695
CH478857.1 supercont1.1696
CH899818.1 supercont1.1697
CH478858.1 supercont1.1698
CH478859.1 supercont1.1699
CH477202.1 supercont1.17
CH477355.1 supercont1.170
CH899819.1 supercont1.1700
CH478860.1 supercont1.1701
CH478861.1 supercont1.1702
CH478862.1 supercont1.1703
CH478863.1 supercont1.1704
CH478864.1 supercont1.1705
CH899820.1 supercont1.1706
CH478865.1 supercont1.1707
CH478866.1 supercont1.1708
CH478867.1 supercont1.1709
CH477356.1 supercont1.171
CH478868.1 supercont1.1710
CH478869.1 supercont1.1711
CH478870.1 supercont1.1712
CH478871.1 supercont1.1713
CH478872.1 supercont1.1714
CH478873.1 supercont1.1715
CH478874.1 supercont1.1717
CH478875.1 supercont1.1718
CH478876.1 supercont1.1719
CH477357.1 supercont1.172
CH899822.1 supercont1.1720
CH478877.1 supercont1.1721
CH478878.1 supercont1.1722
CH899823.1 supercont1.1723
CH478879.1 supercont1.1724
CH478880.1 supercont1.1725
CH478881.1 supercont1.1726
CH478882.1 supercont1.1727
CH478883.1 supercont1.1728
CH478884.1 supercont1.1729
CH477358.1 supercont1.173
CH478885.1 supercont1.1730
CH899824.1 supercont1.1731
CH478886.1 supercont1.1732
CH478887.1 supercont1.1733
CH899825.1 supercont1.1734
CH478888.1 supercont1.1735
CH478889.1 supercont1.1736
CH899826.1 supercont1.1737
CH478890.1 supercont1.1738
CH478891.1 supercont1.1739
CH478892.1 supercont1.1740
CH478893.1 supercont1.1741
CH899827.1 supercont1.1742
CH899828.1 supercont1.1743
CH478894.1 supercont1.1744
CH478895.1 supercont1.1745
CH899829.1 supercont1.1746
CH899830.1 supercont1.1747
CH478896.1 supercont1.1748
CH478897.1 supercont1.1749
CH477360.1 supercont1.175
CH478898.1 supercont1.1750
CH478899.1 supercont1.1751
CH478900.1 supercont1.1752
CH478901.1 supercont1.1753
CH899831.1 supercont1.1754
CH478902.1 supercont1.1755
CH899832.1 supercont1.1756
CH478903.1 supercont1.1757
CH478904.1 supercont1.1758
CH899833.1 supercont1.1759
CH477361.1 supercont1.176
CH478905.1 supercont1.1760
CH478906.1 supercont1.1761
CH899834.1 supercont1.1762
CH899835.1 supercont1.1763
CH478907.1 supercont1.1764
CH478908.1 supercont1.1765
CH478909.1 supercont1.1766
CH478910.1 supercont1.1767
CH478911.1 supercont1.1768
CH478912.1 supercont1.1769
CH477362.1 supercont1.177
CH899836.1 supercont1.1770
CH899837.1 supercont1.1771
CH478913.1 supercont1.1772
CH478914.1 supercont1.1773
CH478915.1 supercont1.1774
CH478916.1 supercont1.1775
CH899838.1 supercont1.1776
CH899839.1 supercont1.1777
CH478917.1 supercont1.1778
CH478918.1 supercont1.1779
CH478919.1 supercont1.1780
CH899840.1 supercont1.1781
CH478920.1 supercont1.1782
CH478921.1 supercont1.1783
CH478922.1 supercont1.1784
CH899841.1 supercont1.1785
CH899842.1 supercont1.1786
CH478923.1 supercont1.1787
CH899843.1 supercont1.1788
CH899844.1 supercont1.1789
CH478924.1 supercont1.1790
CH478925.1 supercont1.1791
CH899845.1 supercont1.1792
CH478926.1 supercont1.1793
CH478927.1 supercont1.1794
CH478928.1 supercont1.1795
CH478929.1 supercont1.1796
CH899846.1 supercont1.1797
CH899847.1 supercont1.1798
CH478930.1 supercont1.1799
CH477203.1 supercont1.18
CH477365.1 supercont1.180
CH478931.1 supercont1.1800
CH478932.1 supercont1.1801
CH478933.1 supercont1.1802
CH899848.1 supercont1.1803
CH478934.1 supercont1.1804
CH478935.1 supercont1.1805
CH478936.1 supercont1.1806
CH478937.1 supercont1.1807
CH478938.1 supercont1.1808
CH478939.1 supercont1.1809
CH478940.1 supercont1.1810
CH899849.1 supercont1.1812
CH478942.1 supercont1.1813
CH478943.1 supercont1.1814
CH478944.1 supercont1.1815
CH478945.1 supercont1.1816
CH478946.1 supercont1.1817
CH899850.1 supercont1.1818
CH899851.1 supercont1.1819
CH477367.1 supercont1.182
CH478947.1 supercont1.1820
CH478948.1 supercont1.1821
CH478949.1 supercont1.1822
CH478950.1 supercont1.1823
CH478951.1 supercont1.1824
CH478952.1 supercont1.1825
CH478953.1 supercont1.1826
CH899852.1 supercont1.1827
CH478954.1 supercont1.1828
CH478955.1 supercont1.1829
CH477368.1 supercont1.183
CH478956.1 supercont1.1830
CH899853.1 supercont1.1831
CH478957.1 supercont1.1832
CH478958.1 supercont1.1833
CH478959.1 supercont1.1834
CH478960.1 supercont1.1835
CH899854.1 supercont1.1836
CH478961.1 supercont1.1837
CH478962.1 supercont1.1838
CH478963.1 supercont1.1839
CH478964.1 supercont1.1840
CH899855.1 supercont1.1841
CH478965.1 supercont1.1842
CH899856.1 supercont1.1843
CH899857.1 supercont1.1844
CH899858.1 supercont1.1845
CH478966.1 supercont1.1846
CH899859.1 supercont1.1847
CH478967.1 supercont1.1848
CH478968.1 supercont1.1849
CH478969.1 supercont1.1850
CH478970.1 supercont1.1851
CH478971.1 supercont1.1852
CH478972.1 supercont1.1853
CH899860.1 supercont1.1854
CH899861.1 supercont1.1855
CH899862.1 supercont1.1856
CH899863.1 supercont1.1857
CH478973.1 supercont1.1858
CH478974.1 supercont1.1859
CH477371.1 supercont1.186
CH899864.1 supercont1.1860
CH478975.1 supercont1.1861
CH478976.1 supercont1.1862
CH478977.1 supercont1.1863
CH478978.1 supercont1.1864
CH899865.1 supercont1.1865
CH478979.1 supercont1.1866
CH899866.1 supercont1.1867
CH478980.1 supercont1.1868
CH478981.1 supercont1.1869
CH477372.1 supercont1.187
CH478982.1 supercont1.1870
CH899867.1 supercont1.1871
CH478983.1 supercont1.1872
CH478984.1 supercont1.1873
CH899868.1 supercont1.1874
CH478985.1 supercont1.1875
CH899869.1 supercont1.1876
CH899870.1 supercont1.1877
CH478986.1 supercont1.1878
CH899871.1 supercont1.1879
CH477373.1 supercont1.188
CH478987.1 supercont1.1880
CH899872.1 supercont1.1881
CH899873.1 supercont1.1882
CH478988.1 supercont1.1883
CH478989.1 supercont1.1884
CH899874.1 supercont1.1885
CH478990.1 supercont1.1886
CH478991.1 supercont1.1889
CH477374.1 supercont1.189
CH478992.1 supercont1.1890
CH478993.1 supercont1.1891
CH478994.1 supercont1.1894
CH478995.1 supercont1.1897
CH478996.1 supercont1.1898
CH477375.1 supercont1.190
CH478997.1 supercont1.1902
CH478998.1 supercont1.1903
CH477376.1 supercont1.191
CH479003.1 supercont1.1911
CH479004.1 supercont1.1912
CH479005.1 supercont1.1914
CH479008.1 supercont1.1920
CH479009.1 supercont1.1921
CH479010.1 supercont1.1922
CH479011.1 supercont1.1924
CH479012.1 supercont1.1926
CH479013.1 supercont1.1927
CH479014.1 supercont1.1929
CH477378.1 supercont1.193
CH479015.1 supercont1.1930
CH479016.1 supercont1.1931
CH479019.1 supercont1.1936
CH479020.1 supercont1.1937
CH477379.1 supercont1.194
CH479022.1 supercont1.1940
CH479026.1 supercont1.1949
CH479029.1 supercont1.1954
CH479030.1 supercont1.1956
CH477381.1 supercont1.196
CH479034.1 supercont1.1962
CH479035.1 supercont1.1963
CH479036.1 supercont1.1964
CH479038.1 supercont1.1970
CH479039.1 supercont1.1972
CH479040.1 supercont1.1974
CH479041.1 supercont1.1978
CH477383.1 supercont1.198
CH479046.1 supercont1.1983
CH479047.1 supercont1.1985
CH479049.1 supercont1.1987
CH479050.1 supercont1.1989
CH477384.1 supercont1.199
CH479051.1 supercont1.1990
CH479053.1 supercont1.1996
CH477205.1 supercont1.20
CH477385.1 supercont1.200
CH479055.1 supercont1.2004
CH477386.1 supercont1.201
CH479062.1 supercont1.2015
CH477387.1 supercont1.202
CH479063.1 supercont1.2021
CH479065.1 supercont1.2024
CH479067.1 supercont1.2030
CH479075.1 supercont1.2045
CH479076.1 supercont1.2047
CH479077.1 supercont1.2049
CH477390.1 supercont1.205
CH479079.1 supercont1.2058
CH477391.1 supercont1.206
CH477392.1 supercont1.207
CH479081.1 supercont1.2071
CH479082.1 supercont1.2072
CH479083.1 supercont1.2074
CH479084.1 supercont1.2075
CH479086.1 supercont1.2078
CH477393.1 supercont1.208
CH479091.1 supercont1.2091
CH479093.1 supercont1.2095
CH477395.1 supercont1.210
CH479097.1 supercont1.2100
CH479098.1 supercont1.2103
CH479099.1 supercont1.2104
CH479103.1 supercont1.2117
CH477397.1 supercont1.212
CH479104.1 supercont1.2121
CH479106.1 supercont1.2124
CH479107.1 supercont1.2126
CH479108.1 supercont1.2132
CH477399.1 supercont1.214
CH479110.1 supercont1.2147
CH479111.1 supercont1.2149
CH479116.1 supercont1.2157
CH477401.1 supercont1.216
CH479118.1 supercont1.2164
CH479120.1 supercont1.2173
CH479121.1 supercont1.2177
CH477403.1 supercont1.218
CH479124.1 supercont1.2186
CH479125.1 supercont1.2188
CH479127.1 supercont1.2194
CH479128.1 supercont1.2196
CH477207.1 supercont1.22
CH477405.1 supercont1.220
CH479129.1 supercont1.2204
CH479130.1 supercont1.2206
CH479131.1 supercont1.2211
CH479133.1 supercont1.2218
CH477407.1 supercont1.222
CH477408.1 supercont1.223
CH477409.1 supercont1.224
CH477410.1 supercont1.225
CH477411.1 supercont1.226
CH479140.1 supercont1.2266
CH477412.1 supercont1.227
CH477413.1 supercont1.228
CH479146.1 supercont1.2282
CH479148.1 supercont1.2292
CH477208.1 supercont1.23
CH479150.1 supercont1.2300
CH477416.1 supercont1.231
CH479153.1 supercont1.2340
CH479154.1 supercont1.2346
CH477420.1 supercont1.235
CH479155.1 supercont1.2350
CH479157.1 supercont1.2359
CH477421.1 supercont1.236
CH477422.1 supercont1.237
CH479159.1 supercont1.2372
CH477424.1 supercont1.239
CH477425.1 supercont1.240
CH477426.1 supercont1.241
CH477427.1 supercont1.242
CH479165.1 supercont1.2424
CH477428.1 supercont1.243
CH479168.1 supercont1.2452
CH479169.1 supercont1.2457
CH477431.1 supercont1.246
CH479170.1 supercont1.2466
CH477432.1 supercont1.247
CH477433.1 supercont1.248
CH477434.1 supercont1.249
CH477210.1 supercont1.25
CH477435.1 supercont1.250
CH477436.1 supercont1.251
CH477438.1 supercont1.253
CH477439.1 supercont1.254
CH477440.1 supercont1.255
CH477441.1 supercont1.256
CH479173.1 supercont1.2566
CH477442.1 supercont1.257
CH477443.1 supercont1.258
CH479174.1 supercont1.2581
CH477211.1 supercont1.26
CH477446.1 supercont1.261
CH477447.1 supercont1.262
CH477448.1 supercont1.263
CH477449.1 supercont1.264
CH479176.1 supercont1.2655
CH477451.1 supercont1.266
CH477452.1 supercont1.267
CH477453.1 supercont1.268
CH477455.1 supercont1.270
CH477457.1 supercont1.272
CH477459.1 supercont1.274
CH477461.1 supercont1.276
CH479178.1 supercont1.2764
CH477213.1 supercont1.28
CH477465.1 supercont1.280
CH477467.1 supercont1.282
CH477468.1 supercont1.283
CH477471.1 supercont1.286
CH477472.1 supercont1.287
CH477474.1 supercont1.289
CH477214.1 supercont1.29
CH477475.1 supercont1.290
CH477476.1 supercont1.291
CH477477.1 supercont1.292
CH477478.1 supercont1.293
CH477479.1 supercont1.294
CH477480.1 supercont1.295
CH477482.1 supercont1.297
CH477483.1 supercont1.298
CH477484.1 supercont1.299
CH477485.1 supercont1.300
CH477488.1 supercont1.303
CH477491.1 supercont1.306
CH477493.1 supercont1.308
CH477494.1 supercont1.309
CH477216.1 supercont1.31
CH477495.1 supercont1.310
CH477498.1 supercont1.313
CH477499.1 supercont1.314
CH477500.1 supercont1.315
CH477502.1 supercont1.317
CH477217.1 supercont1.32
CH477505.1 supercont1.320
CH477506.1 supercont1.321
CH477508.1 supercont1.323
CH477510.1 supercont1.325
CH477514.1 supercont1.329
CH477515.1 supercont1.330
CH477516.1 supercont1.331
CH477517.1 supercont1.332
CH477518.1 supercont1.333
CH477519.1 supercont1.334
CH477521.1 supercont1.336
CH477522.1 supercont1.337
CH477219.1 supercont1.34
CH477525.1 supercont1.340
CH477526.1 supercont1.341
CH477527.1 supercont1.342
CH477528.1 supercont1.343
CH477530.1 supercont1.345
CH477531.1 supercont1.346
CH477532.1 supercont1.347
CH477534.1 supercont1.349
CH477535.1 supercont1.350
CH477537.1 supercont1.352
CH477539.1 supercont1.354
CH477540.1 supercont1.355
CH477541.1 supercont1.356
CH477542.1 supercont1.357
CH477545.1 supercont1.360
CH477546.1 supercont1.361
CH477547.1 supercont1.362
CH477548.1 supercont1.363
CH477549.1 supercont1.364
CH477551.1 supercont1.366
CH477552.1 supercont1.367
CH477553.1 supercont1.368
CH477554.1 supercont1.369
CH477222.1 supercont1.37
CH477555.1 supercont1.370
CH477557.1 supercont1.372
CH477558.1 supercont1.373
CH477559.1 supercont1.374
CH477560.1 supercont1.375
CH477561.1 supercont1.376
CH477563.1 supercont1.378
CH477564.1 supercont1.379
CH477223.1 supercont1.38
CH477565.1 supercont1.380
CH477567.1 supercont1.382
CH477568.1 supercont1.383
CH477569.1 supercont1.384
CH477572.1 supercont1.387
CH477574.1 supercont1.389
CH477575.1 supercont1.390
CH477576.1 supercont1.391
CH477577.1 supercont1.392
CH477578.1 supercont1.393
CH477580.1 supercont1.395
CH477581.1 supercont1.396
CH477582.1 supercont1.397
CH477225.1 supercont1.40
CH477585.1 supercont1.400
CH477590.1 supercont1.405
CH477591.1 supercont1.406
CH477593.1 supercont1.408
CH477594.1 supercont1.409
CH477226.1 supercont1.41
CH477595.1 supercont1.410
CH477597.1 supercont1.412
CH477598.1 supercont1.413
CH477599.1 supercont1.414
CH477600.1 supercont1.415
CH477601.1 supercont1.416
CH477602.1 supercont1.417
CH477603.1 supercont1.418
CH477604.1 supercont1.419
CH477605.1 supercont1.420
CH477606.1 supercont1.421
CH477607.1 supercont1.422
CH477608.1 supercont1.423
CH477609.1 supercont1.424
CH477611.1 supercont1.426
CH477613.1 supercont1.428
CH477614.1 supercont1.429
CH477616.1 supercont1.431
CH477617.1 supercont1.432
CH477618.1 supercont1.433
CH477620.1 supercont1.435
CH477621.1 supercont1.436
CH477622.1 supercont1.437
CH477624.1 supercont1.439
CH477625.1 supercont1.440
CH477628.1 supercont1.443
CH477629.1 supercont1.444
CH477630.1 supercont1.445
CH477632.1 supercont1.447
CH477633.1 supercont1.448
CH477634.1 supercont1.449
CH477230.1 supercont1.45
CH477637.1 supercont1.452
CH477638.1 supercont1.453
CH477639.1 supercont1.454
CH477640.1 supercont1.455
CH477643.1 supercont1.458
CH477644.1 supercont1.459
CH477231.1 supercont1.46
CH477645.1 supercont1.460
CH477646.1 supercont1.461
CH477648.1 supercont1.463
CH477649.1 supercont1.464
CH477650.1 supercont1.465
CH477651.1 supercont1.466
CH477652.1 supercont1.467
CH477653.1 supercont1.468
CH477654.1 supercont1.469
CH477232.1 supercont1.47
CH477655.1 supercont1.470
CH477657.1 supercont1.472
CH477658.1 supercont1.473
CH477659.1 supercont1.474
CH477660.1 supercont1.475
CH477661.1 supercont1.476
CH477663.1 supercont1.478
CH477664.1 supercont1.479
CH477665.1 supercont1.480
CH477666.1 supercont1.481
CH477667.1 supercont1.482
CH477668.1 supercont1.483
CH477669.1 supercont1.484
CH477673.1 supercont1.488
CH477674.1 supercont1.489
CH477234.1 supercont1.49
CH477675.1 supercont1.490
CH477677.1 supercont1.492
CH477678.1 supercont1.493
CH477679.1 supercont1.494
CH477681.1 supercont1.496
CH477682.1 supercont1.497
CH477683.1 supercont1.498
CH477684.1 supercont1.499
CH477190.1 supercont1.5
CH477235.1 supercont1.50
CH477685.1 supercont1.500
CH477686.1 supercont1.501
CH477687.1 supercont1.502
CH477688.1 supercont1.503
CH477689.1 supercont1.504
CH477690.1 supercont1.505
CH477693.1 supercont1.508
CH477694.1 supercont1.509
CH477236.1 supercont1.51
CH477695.1 supercont1.510
CH477696.1 supercont1.511
CH477698.1 supercont1.513
CH477699.1 supercont1.514
CH477700.1 supercont1.515
CH477701.1 supercont1.516
CH477702.1 supercont1.517
CH477704.1 supercont1.519
CH477237.1 supercont1.52
CH477705.1 supercont1.520
CH477706.1 supercont1.521
CH477707.1 supercont1.522
CH477708.1 supercont1.523
CH477709.1 supercont1.524
CH477710.1 supercont1.525
CH477712.1 supercont1.527
CH477713.1 supercont1.528
CH477714.1 supercont1.529
CH477715.1 supercont1.530
CH477716.1 supercont1.531
CH477717.1 supercont1.532
CH477718.1 supercont1.533
CH477719.1 supercont1.534
CH477720.1 supercont1.535
CH477721.1 supercont1.536
CH477722.1 supercont1.537
CH477723.1 supercont1.538
CH477724.1 supercont1.539
CH477239.1 supercont1.54
CH477725.1 supercont1.540
CH477727.1 supercont1.542
CH477728.1 supercont1.543
CH477729.1 supercont1.544
CH477730.1 supercont1.545
CH477731.1 supercont1.546
CH477732.1 supercont1.547
CH477733.1 supercont1.548
CH477734.1 supercont1.549
CH477240.1 supercont1.55
CH477735.1 supercont1.550
CH477736.1 supercont1.551
CH477737.1 supercont1.552
CH477738.1 supercont1.553
CH477739.1 supercont1.554
CH477740.1 supercont1.555
CH477741.1 supercont1.556
CH477742.1 supercont1.557
CH477743.1 supercont1.558
CH477241.1 supercont1.56
CH477746.1 supercont1.561
CH477747.1 supercont1.562
CH477749.1 supercont1.564
CH477750.1 supercont1.565
CH477751.1 supercont1.566
CH477752.1 supercont1.567
CH477753.1 supercont1.568
CH477754.1 supercont1.569
CH477755.1 supercont1.570
CH477757.1 supercont1.572
CH477758.1 supercont1.573
CH477759.1 supercont1.574
CH477760.1 supercont1.575
CH477761.1 supercont1.576
CH477762.1 supercont1.577
CH477763.1 supercont1.578
CH477764.1 supercont1.579
CH477243.1 supercont1.58
CH477767.1 supercont1.582
CH477768.1 supercont1.583
CH477769.1 supercont1.584
CH477770.1 supercont1.585
CH477771.1 supercont1.586
CH477772.1 supercont1.587
CH477773.1 supercont1.588
CH477776.1 supercont1.591
CH477777.1 supercont1.592
CH477778.1 supercont1.593
CH477779.1 supercont1.594
CH477780.1 supercont1.595
CH477781.1 supercont1.596
CH477782.1 supercont1.597
CH477783.1 supercont1.598
CH477784.1 supercont1.599
CH477191.1 supercont1.6
CH477785.1 supercont1.600
CH477786.1 supercont1.601
CH477787.1 supercont1.602
CH477788.1 supercont1.603
CH477789.1 supercont1.604
CH477790.1 supercont1.605
CH477791.1 supercont1.606
CH477792.1 supercont1.607
CH477793.1 supercont1.608
CH477794.1 supercont1.609
CH477246.1 supercont1.61
CH477795.1 supercont1.610
CH477796.1 supercont1.611
CH477799.1 supercont1.614
CH477800.1 supercont1.615
CH477801.1 supercont1.616
CH477802.1 supercont1.617
CH477803.1 supercont1.618
CH477805.1 supercont1.620
CH477806.1 supercont1.621
CH477807.1 supercont1.622
CH477808.1 supercont1.623
CH477809.1 supercont1.624
CH477810.1 supercont1.625
CH477811.1 supercont1.626
CH477812.1 supercont1.627
CH477813.1 supercont1.628
CH477814.1 supercont1.629
CH477815.1 supercont1.630
CH477816.1 supercont1.631
CH477817.1 supercont1.632
CH477818.1 supercont1.633
CH477819.1 supercont1.634
CH477820.1 supercont1.635
CH477821.1 supercont1.636
CH477822.1 supercont1.637
CH477823.1 supercont1.638
CH477824.1 supercont1.639
CH477249.1 supercont1.64
CH477825.1 supercont1.640
CH477826.1 supercont1.641
CH477827.1 supercont1.642
CH477828.1 supercont1.643
CH477829.1 supercont1.644
CH477830.1 supercont1.645
CH477831.1 supercont1.646
CH477832.1 supercont1.647
CH477833.1 supercont1.648
CH477250.1 supercont1.65
CH477835.1 supercont1.650
CH477836.1 supercont1.651
CH477837.1 supercont1.652
CH477838.1 supercont1.653
CH477839.1 supercont1.654
CH477840.1 supercont1.655
CH477841.1 supercont1.656
CH477842.1 supercont1.657
CH477843.1 supercont1.658
CH477844.1 supercont1.659
CH477845.1 supercont1.660
CH477846.1 supercont1.661
CH477848.1 supercont1.663
CH477849.1 supercont1.664
CH477850.1 supercont1.665
CH477851.1 supercont1.666
CH477852.1 supercont1.667
CH477853.1 supercont1.668
CH477854.1 supercont1.669
CH477252.1 supercont1.67
CH477855.1 supercont1.670
CH477856.1 supercont1.671
CH477857.1 supercont1.672
CH477859.1 supercont1.674
CH477860.1 supercont1.675
CH477861.1 supercont1.676
CH477863.1 supercont1.678
CH477864.1 supercont1.679
CH477865.1 supercont1.680
CH477866.1 supercont1.681
CH477867.1 supercont1.682
CH477868.1 supercont1.683
CH477869.1 supercont1.684
CH477870.1 supercont1.685
CH477871.1 supercont1.686
CH477872.1 supercont1.687
CH477873.1 supercont1.688
CH477874.1 supercont1.689
CH477875.1 supercont1.690
CH477876.1 supercont1.691
CH477877.1 supercont1.692
CH477878.1 supercont1.693
CH477879.1 supercont1.694
CH477880.1 supercont1.695
CH477881.1 supercont1.696
CH477882.1 supercont1.697
CH477883.1 supercont1.698
CH477884.1 supercont1.699
CH477255.1 supercont1.70
CH477885.1 supercont1.700
CH477887.1 supercont1.702
CH477888.1 supercont1.703
CH477890.1 supercont1.705
CH477891.1 supercont1.706
CH477892.1 supercont1.707
CH477893.1 supercont1.708
CH477894.1 supercont1.709
CH477896.1 supercont1.711
CH477897.1 supercont1.712
CH477898.1 supercont1.713
CH477899.1 supercont1.714
CH477900.1 supercont1.715
CH477901.1 supercont1.716
CH477902.1 supercont1.717
CH477903.1 supercont1.718
CH477905.1 supercont1.720
CH477906.1 supercont1.721
CH477907.1 supercont1.722
CH477908.1 supercont1.723
CH477909.1 supercont1.724
CH477910.1 supercont1.725
CH477912.1 supercont1.727
CH477913.1 supercont1.728
CH477914.1 supercont1.729
CH477915.1 supercont1.730
CH477917.1 supercont1.732
CH477919.1 supercont1.734
CH477920.1 supercont1.735
CH477921.1 supercont1.736
CH477922.1 supercont1.737
CH477923.1 supercont1.738
CH477259.1 supercont1.74
CH477925.1 supercont1.740
CH477926.1 supercont1.741
CH477927.1 supercont1.742
CH477928.1 supercont1.743
CH477929.1 supercont1.744
CH477930.1 supercont1.745
CH477931.1 supercont1.746
CH477932.1 supercont1.747
CH477933.1 supercont1.748
CH477934.1 supercont1.749
CH477935.1 supercont1.750
CH477936.1 supercont1.751
CH477937.1 supercont1.752
CH477938.1 supercont1.753
CH477940.1 supercont1.755
CH477941.1 supercont1.756
CH477942.1 supercont1.757
CH477943.1 supercont1.758
CH477944.1 supercont1.759
CH477945.1 supercont1.760
CH477947.1 supercont1.762
CH477948.1 supercont1.763
CH477949.1 supercont1.764
CH477950.1 supercont1.765
CH477952.1 supercont1.767
CH477954.1 supercont1.769
CH477955.1 supercont1.770
CH477956.1 supercont1.771
CH477958.1 supercont1.773
CH477959.1 supercont1.774
CH477960.1 supercont1.775
CH477961.1 supercont1.776
CH477964.1 supercont1.779
CH477263.1 supercont1.78
CH477965.1 supercont1.780
CH477966.1 supercont1.781
CH477967.1 supercont1.782
CH477968.1 supercont1.783
CH477970.1 supercont1.785
CH477973.1 supercont1.788
CH477975.1 supercont1.790
CH477976.1 supercont1.791
CH477977.1 supercont1.792
CH477978.1 supercont1.793
CH477979.1 supercont1.794
CH477980.1 supercont1.795
CH477981.1 supercont1.796
CH477982.1 supercont1.797
CH477983.1 supercont1.798
CH477984.1 supercont1.799
CH477985.1 supercont1.800
CH477986.1 supercont1.801
CH477987.1 supercont1.802
CH477988.1 supercont1.803
CH477989.1 supercont1.804
CH477990.1 supercont1.805
CH477991.1 supercont1.806
CH477992.1 supercont1.807
CH477993.1 supercont1.808
CH477994.1 supercont1.809
CH477266.1 supercont1.81
CH477995.1 supercont1.810
CH477997.1 supercont1.812
CH477998.1 supercont1.813
CH477999.1 supercont1.814
CH478000.1 supercont1.815
CH478003.1 supercont1.818
CH478004.1 supercont1.819
CH478006.1 supercont1.821
CH478007.1 supercont1.822
CH478008.1 supercont1.823
CH478009.1 supercont1.824
CH478010.1 supercont1.825
CH478011.1 supercont1.826
CH478012.1 supercont1.827
CH478013.1 supercont1.828
CH478014.1 supercont1.829
CH478015.1 supercont1.830
CH478016.1 supercont1.831
CH478017.1 supercont1.832
CH478018.1 supercont1.833
CH478019.1 supercont1.834
CH478021.1 supercont1.836
CH478022.1 supercont1.837
CH478023.1 supercont1.838
CH478024.1 supercont1.839
CH477269.1 supercont1.84
CH478025.1 supercont1.840
CH478026.1 supercont1.841
CH478027.1 supercont1.842
CH478028.1 supercont1.843
CH478029.1 supercont1.844
CH478030.1 supercont1.845
CH478031.1 supercont1.846
CH478032.1 supercont1.847
CH478033.1 supercont1.848
CH478034.1 supercont1.849
CH478035.1 supercont1.850
CH478037.1 supercont1.852
CH478038.1 supercont1.853
CH478039.1 supercont1.854
CH478040.1 supercont1.855
CH478041.1 supercont1.856
CH478042.1 supercont1.857
CH478043.1 supercont1.858
CH478044.1 supercont1.859
CH478045.1 supercont1.860
CH478047.1 supercont1.862
CH478048.1 supercont1.863
CH478049.1 supercont1.864
CH478050.1 supercont1.865
CH478051.1 supercont1.866
CH478052.1 supercont1.867
CH478053.1 supercont1.868
CH478054.1 supercont1.869
CH477272.1 supercont1.87
CH478055.1 supercont1.870
CH478056.1 supercont1.871
CH478057.1 supercont1.872
CH478058.1 supercont1.873
CH478059.1 supercont1.874
CH478060.1 supercont1.875
CH478062.1 supercont1.877
CH478063.1 supercont1.878
CH478064.1 supercont1.879
CH477273.1 supercont1.88
CH478065.1 supercont1.880
CH478066.1 supercont1.881
CH478067.1 supercont1.882
CH478068.1 supercont1.883
CH478069.1 supercont1.884
CH478070.1 supercont1.885
CH478071.1 supercont1.886
CH478072.1 supercont1.887
CH478073.1 supercont1.888
CH478074.1 supercont1.889
CH478075.1 supercont1.890
CH478076.1 supercont1.891
CH478077.1 supercont1.892
CH478078.1 supercont1.893
CH478079.1 supercont1.894
CH478080.1 supercont1.895
CH478081.1 supercont1.896
CH478082.1 supercont1.897
CH478083.1 supercont1.898
CH478084.1 supercont1.899
CH478085.1 supercont1.900
CH478087.1 supercont1.902
CH478088.1 supercont1.903
CH478089.1 supercont1.904
CH478090.1 supercont1.905
CH478091.1 supercont1.906
CH478092.1 supercont1.907
CH478093.1 supercont1.908
CH478094.1 supercont1.909
CH477276.1 supercont1.91
CH478095.1 supercont1.910
CH478096.1 supercont1.911
CH478097.1 supercont1.912
CH478098.1 supercont1.913
CH478099.1 supercont1.914
CH478100.1 supercont1.915
CH478101.1 supercont1.916
CH478102.1 supercont1.917
CH478103.1 supercont1.918
CH478104.1 supercont1.919
CH477277.1 supercont1.92
CH478105.1 supercont1.920
CH478106.1 supercont1.921
CH478107.1 supercont1.922
CH478108.1 supercont1.923
CH478109.1 supercont1.924
CH478110.1 supercont1.925
CH478111.1 supercont1.926
CH478112.1 supercont1.927
CH478113.1 supercont1.928
CH478114.1 supercont1.929
CH477278.1 supercont1.93
CH478115.1 supercont1.930
CH478117.1 supercont1.932
CH478118.1 supercont1.933
CH478119.1 supercont1.934
CH478120.1 supercont1.935
CH478121.1 supercont1.936
CH478122.1 supercont1.937
CH478123.1 supercont1.938
CH478124.1 supercont1.939
CH478125.1 supercont1.940
CH478126.1 supercont1.941
CH478127.1 supercont1.942
CH899794.1 supercont1.943
